species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
半线天竺鲷,1,半线天竺鲷,21,21,0,0,0,100.0,0.0,0.0,163.68,7371,4331.6,.jpg:21
南氏鱼,1,南氏鱼,21,19,2,0,0,90.5,9.5,0.0,120.91,4959.8,3433.1,.jpg:21
塔乌贼,1,塔乌贼,21,20,1,0,0,95.2,4.8,0.0,95.91,4858.7,3616.8,.jpg:21
烛光鱼,1,烛光鱼,21,15,4,2,0,71.4,19.0,9.5,121.17,5568.1,3203.1,.jpg:21
黑鳍棘鳞鱼,1,黑鳍棘鳞鱼,21,21,0,0,0,100.0,0.0,0.0,203.05,8354.7,4760.9,.jpg:21
后光眶灯鱼,1,后光眶灯鱼,20,20,0,0,0,100.0,0.0,0.0,52.46,3492,3352.8,.jpg:20
圆鲀,1,圆鲀,20,16,0,4,0,80.0,0.0,20.0,127.05,7171.7,4025.2,.jpg:18; .bmp:2
大西洋谷口鱼,1,大西洋谷口鱼,20,17,2,1,0,85.0,10.0,5.0,70.34,4175.9,2967,.jpg:20
大鳞拟棘鲆,1,大鳞拟棘鲆,20,18,0,2,0,90.0,0.0,10.0,169.04,7260.8,4121.3,.jpg:20
长鳍金眼鲷,1,长鳍金眼鲷,20,20,0,0,0,100.0,0.0,0.0,100.08,4288.8,3435.2,.jpg:20
飞乌贼,1,飞乌贼,20,20,0,0,0,100.0,0.0,0.0,72.69,3817.4,3887.2,.jpg:20
高菱鲷,1,高菱鲷,20,17,0,3,0,85.0,0.0,15.0,122.7,5931.1,3642.2,.jpg:20
黄鳍多棘鳞鲀,1,黄鳍多棘鳞鲀,20,19,1,0,0,95.0,5.0,0.0,177.69,7802.1,4490.5,.jpg:20
I南海采集,1,I南海采集06_1_潮间带FeiBoy_来自小红书网页版,19,0,17,2,0,0.0,89.5,10.5,5.56,1288.4,1231.6,.jpg:19
叉齿鱼,1,叉齿鱼,19,19,0,0,0,100.0,0.0,0.0,84.39,5306.9,3551.1,.jpg:19
双斑瓦鲽,1,双斑瓦鲽,19,19,0,0,0,100.0,0.0,0.0,155.18,7872,4533.1,.jpg:19
日本䲗,1,日本䲗,19,6,9,4,0,31.6,47.4,21.1,65.24,4063.5,2075.8,.jpg:19
月灯鱼,1,月灯鱼,19,17,0,2,0,89.5,0.0,10.5,51.94,3429.9,3461.9,.jpg:19
棘尾银斧鱼,1,棘尾银斧鱼,19,18,1,0,0,94.7,5.3,0.0,139.68,6409.3,4239.1,.jpg:18; .png:1
